a b weight
0 0 0
0 1 0
0 2 0
0 3 0
0 4 0
0 5 0
0 6 0
0 7 0
0 8 0
0 9 0
0 10 2
0 11 2
0 12 1
0 13 6
0 14 6
0 15 4
0 16 4
0 17 4
0 18 4
0 19 6
0 20 12
0 21 12
0 22 14
0 23 18
0 24 22
0 25 24
0 26 18
0 27 24
0 28 19
0 29 22
0 30 22
0 31 30
0 32 32
0 33 30
0 34 34
0 35 28
0 36 23
0 37 30
0 38 32
0 39 26
1 0 0
1 1 0
1 2 0
1 3 0
1 4 0
1 5 0
1 6 0
1 7 0
1 8 2
1 9 2
1 10 2
1 11 2
1 12 2
1 13 6
1 14 3
1 15 6
1 16 8
1 17 6
1 18 3
1 19 6
1 20 12
1 21 10
1 22 14
1 23 14
1 24 18
1 25 20
1 26 18
1 27 16
1 28 20
1 29 30
1 30 31
1 31 26
1 32 34
1 33 40
1 34 49
1 35 41
1 36 42
1 37 42
1 38 42
1 39 42
2 0 0
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 2
2 9 2
2 10 2
2 11 2
2 12 2
2 13 6
2 14 6
2 15 8
2 16 8
2 17 6
2 18 2
2 19 8
2 20 10
2 21 16
2 22 19
2 23 24
2 24 24
2 25 21
2 26 20
2 27 10
2 28 16
2 29 26
2 30 34
2 31 28
2 32 46
2 33 54
2 34 48
2 35 51
2 36 54
2 37 49
2 38 51
2 39 48
3 0 0
3 1 0
3 2 0
3 3 0
3 4 0
3 5 0
3 6 0
3 7 0
3 8 0
3 9 2
3 10 2
3 11 2
3 12 4
3 13 6
3 14 4
3 15 6
3 16 2
3 17 2
3 18 4
3 19 8
3 20 6
3 21 16
3 22 16
3 23 22
3 24 21
3 25 20
3 26 14
3 27 14
3 28 16
3 29 20
3 30 36
3 31 41
3 32 46
3 33 56
3 34 65
3 35 72
3 36 65
3 37 66
3 38 71
3 39 54
4 0 0
4 1 0
4 2 0
4 3 0
4 4 0
4 5 0
4 6 0
4 7 0
4 8 0
4 9 2
4 10 2
4 11 2
4 12 2
4 13 4
4 14 2
4 15 2
4 16 2
4 17 4
4 18 6
4 19 8
4 20 10
4 21 16
4 22 14
4 23 18
4 24 19
4 25 19
4 26 12
4 27 16
4 28 12
4 29 24
4 30 36
4 31 36
4 32 42
4 33 62
4 34 71
4 35 88
4 36 89
4 37 76
4 38 68
4 39 57
5 0 0
5 1 0
5 2 0
5 3 0
5 4 0
5 5 0
5 6 0
5 7 0
5 8 0
5 9 0
5 10 0
5 11 0
5 12 2
5 13 4
5 14 2
5 15 2
5 16 4
5 17 6
5 18 6
5 19 4
5 20 4
5 21 8
5 22 10
5 23 20
5 24 24
5 25 22
5 26 16
5 27 16
5 28 19
5 29 27
5 30 32
5 31 28
5 32 40
5 33 59
5 34 56
5 35 87
5 36 81
5 37 83
5 38 70
5 39 52
6 0 0
6 1 0
6 2 0
6 3 0
6 4 0
6 5 0
6 6 0
6 7 0
6 8 0
6 9 0
6 10 0
6 11 2
6 12 2
6 13 4
6 14 2
6 15 2
6 16 4
6 17 6
6 18 4
6 19 2
6 20 8
6 21 10
6 22 10
6 23 14
6 24 16
6 25 14
6 26 14
6 27 20
6 28 16
6 29 16
6 30 24
6 31 28
6 32 40
6 33 42
6 34 47
6 35 64
6 36 70
6 37 67
6 38 51
6 39 43
7 0 0
7 1 0
7 2 0
7 3 0
7 4 0
7 5 0
7 6 0
7 7 0
7 8 0
7 9 0
7 10 0
7 11 2
7 12 4
7 13 4
7 14 2
7 15 2
7 16 2
7 17 4
7 18 4
7 19 4
7 20 6
7 21 6
7 22 6
7 23 12
7 24 12
7 25 8
7 26 9
7 27 18
7 28 12
7 29 18
7 30 16
7 31 22
7 32 34
7 33 30
7 34 56
7 35 64
7 36 60
7 37 52
7 38 50
7 39 41
8 0 0
8 1 0
8 2 0
8 3 0
8 4 0
8 5 0
8 6 0
8 7 0
8 8 0
8 9 0
8 10 0
8 11 0
8 12 4
8 13 2
8 14 2
8 15 4
8 16 6
8 17 4
8 18 4
8 19 4
8 20 4
8 21 8
8 22 10
8 23 16
8 24 18
8 25 16
8 26 14
8 27 12
8 28 8
8 29 14
8 30 8
8 31 18
8 32 27
8 33 28
8 34 45
8 35 44
8 36 39
8 37 45
8 38 48
8 39 35
9 0 2
9 1 2
9 2 2
9 3 0
9 4 0
9 5 0
9 6 0
9 7 0
9 8 2
9 9 2
9 10 2
9 11 4
9 12 4
9 13 4
9 14 4
9 15 4
9 16 6
9 17 6
9 18 5
9 19 4
9 20 8
9 21 8
9 22 4
9 23 4
9 24 12
9 25 14
9 26 9
9 27 12
9 28 10
9 29 10
9 30 12
9 31 18
9 32 24
9 33 28
9 34 33
9 35 36
9 36 32
9 37 40
9 38 42
9 39 35
10 0 2
10 1 2
10 2 2
10 3 2
10 4 0
10 5 0
10 6 0
10 7 0
10 8 2
10 9 0
10 10 0
10 11 4
10 12 0
10 13 4
10 14 4
10 15 4
10 16 2
10 17 4
10 18 4
10 19 4
10 20 8
10 21 8
10 22 4
10 23 6
10 24 10
10 25 12
10 26 12
10 27 12
10 28 8
10 29 12
10 30 14
10 31 20
10 32 26
10 33 32
10 34 34
10 35 30
10 36 26
10 37 36
10 38 31
10 39 28
11 0 2
11 1 2
11 2 1
11 3 2
11 4 0
11 5 0
11 6 0
11 7 2
11 8 2
11 9 0
11 10 0
11 11 4
11 12 2
11 13 4
11 14 4
11 15 6
11 16 4
11 17 2
11 18 4
11 19 4
11 20 6
11 21 8
11 22 2
11 23 2
11 24 4
11 25 6
11 26 8
11 27 10
11 28 14
11 29 17
11 30 14
11 31 16
11 32 20
11 33 30
11 34 32
11 35 34
11 36 24
11 37 30
11 38 28
11 39 30
12 0 2
12 1 0
12 2 2
12 3 4
12 4 4
12 5 4
12 6 2
12 7 2
12 8 0
12 9 0
12 10 2
12 11 4
12 12 2
12 13 2
12 14 2
12 15 4
12 16 4
12 17 4
12 18 6
12 19 4
12 20 4
12 21 2
12 22 2
12 23 2
12 24 8
12 25 8
12 26 5
12 27 6
12 28 9
12 29 12
12 30 12
12 31 12
12 32 16
12 33 22
12 34 20
12 35 26
12 36 24
12 37 29
12 38 27
12 39 28
13 0 2
13 1 0
13 2 0
13 3 2
13 4 3
13 5 4
13 6 4
13 7 2
13 8 2
13 9 2
13 10 2
13 11 4
13 12 2
13 13 2
13 14 2
13 15 2
13 16 4
13 17 4
13 18 4
13 19 2
13 20 4
13 21 6
13 22 4
13 23 2
13 24 4
13 25 8
13 26 8
13 27 6
13 28 8
13 29 14
13 30 10
13 31 14
13 32 18
13 33 19
13 34 16
13 35 19
13 36 20
13 37 21
13 38 24
13 39 22
14 0 2
14 1 2
14 2 4
14 3 4
14 4 4
14 5 2
14 6 4
14 7 4
14 8 2
14 9 2
14 10 2
14 11 4
14 12 2
14 13 2
14 14 2
14 15 4
14 16 8
14 17 8
14 18 6
14 19 4
14 20 2
14 21 4
14 22 2
14 23 0
14 24 4
14 25 3
14 26 2
14 27 2
14 28 6
14 29 8
14 30 6
14 31 10
14 32 16
14 33 20
14 34 14
14 35 20
14 36 18
14 37 18
14 38 22
14 39 20
15 0 0
15 1 0
15 2 2
15 3 2
15 4 2
15 5 0
15 6 0
15 7 2
15 8 2
15 9 2
15 10 0
15 11 4
15 12 1
15 13 2
15 14 2
15 15 2
15 16 4
15 17 6
15 18 6
15 19 6
15 20 4
15 21 2
15 22 2
